subgenre_id,subgenre_name,genre_id
KZazBEonSMnZfZ7vke6,Gangsta Rap,KnvZfZ7vAv1
KZazBEonSMnZfZ7vkeF,Hardcore Rap,KnvZfZ7vAv1
KZazBEonSMnZfZ7vkvl,Hip-Hop/Rap,KnvZfZ7vAv1
KZazBEonSMnZfZ7vkea,Jazz-Rap,KnvZfZ7vAv1
KZazBEonSMnZfZ7vke1,Latin Hip-Hop,KnvZfZ7vAv1
KZazBEonSMnZfZ7vkeJ,Latin Rap,KnvZfZ7vAv1
KZazBEonSMnZfZ7vkeE,Midwestern Rap,KnvZfZ7vAv1
KZazBEonSMnZfZ7vkeI,Old School Rap,KnvZfZ7vAv1
KZazBEonSMnZfZ7vket,Party Rap,KnvZfZ7vAv1
KZazBEonSMnZfZ7vken,Political Rap,KnvZfZ7vAv1
KZazBEonSMnZfZ7vkel,Rap-Rock,KnvZfZ7vAv1
KZazBEonSMnZfZ7vkdv,Reggaeton,KnvZfZ7vAv1
KZazBEonSMnZfZ7vkde,Southern Rap,KnvZfZ7vAv1
KZazBEonSMnZfZ7vkdd,Turntablism,KnvZfZ7vAv1
KZazBEonSMnZfZ7vkd7,Underground Rap,KnvZfZ7vAv1
KZazBEonSMnZfZ7vkdA,Urban,KnvZfZ7vAv1
KZazBEonSMnZfZ7vkdk,West Coast Rap,KnvZfZ7vAv1
KZazBEonSMnZfZ7vkdF,Christmas Music,KnvZfZ7vAvJ
KZazBEonSMnZfZ7vkd6,Holiday,KnvZfZ7vAvJ
KZazBEonSMnZfZ7vkd1,Acid Jazz,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkdJ,African Jazz,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkdE,Afro-Cuban Jazz,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkdI,Avant-Garde Jazz,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkdt,Ballads,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkdn,Ballroom Dance,KnvZfZ7vAvE
KZazBEonSMnZfZ7vkdl,Bebop,KnvZfZ7vAvE
KZazBEonSMnZfZ7vk7v,Big Band,KnvZfZ7vAvE
KZazBEonSMnZfZ7vk7e,Big Band/Swing,KnvZfZ7vAvE
KZazBEonSMnZfZ7vk7d,Boogie-Woogie,KnvZfZ7vAvE
KZazBEonSMnZfZ7vk77,Brazilian Jazz,KnvZfZ7vAvE
KZazBEonSMnZfZ7vk7A,British Dance Bands,KnvZfZ7vAvE
KZazBEonSMnZfZ7vk7k,Classic Big Band,KnvZfZ7vAvE
KZazBEonSMnZfZ7vk76,Classic Jazz,KnvZfZ7vAvE
KZazBEonSMnZfZ7vk7F,Contemporary Big Band,KnvZfZ7vAvE
KZazBEonSMnZfZ7vk7a,Contemporary Jazz,KnvZfZ7vAvE
