venue_id,venue_name,postalCode,city,state,address,latitude,longitude
ZFr9jZAvFe,Yaamava' Resort & Casino at San Manuel,92346,{'name': 'Highland'},CA,"{'line1': '777 San Manuel Blvd.', 'line2': 'Highland, CA'}",34.1353,-117.153198
ZFr9jZ6dAF,The Novo by Microsoft,90015,{'name': 'Los Angeles'},CA,"{'line1': '800 West Olympic Blvd', 'line2': 'Suite A335'}",34.0397,-118.266403
KovZpZA77elA,Vina Robles Amphitheatre,93446,{'name': 'Paso Robles'},CA,{'line1': '3800 Mill Road'},35.64581971,-120.62933832
KovZpZAEvnFA,Teragram Ballroom,90017,{'name': 'Los Angeles'},CA,{'line1': '1234 West 7th Street'},34.051841,-118.267076
KovZ917AJue,YouTube Theater,90301,{'name': 'Inglewood'},CA,{'line1': '1011 S. Stadium Dr'},33.94982,-118.3436
ZFr9jZFAaF,Pappy and Harriets Pioneertown Palace,92268,{'name': 'Pioneertown'},CA,{'line1': '53688 Pioneertown Road'},34.194401,-116.548203
ZFr9jZeA6a,Roxy Theatre-CA,90069,{'name': 'West Hollywood'},CA,{'line1': '9009 Sunset Blvd'},34.0942,-118.3815
KovZ917AGEf,The Parish at House of Blues Anaheim,92802,{'name': 'Anaheim'},CA,"{'line1': '400 W Disney Way, #337'}",33.806533,-117.912474
KovZpa6OCe,Echoplex,90026,{'name': 'Los Angeles'},CA,{'line1': '1154 Glendale Blvd'},34.0775847,-118.2606316
KovZpZAaaaEA,Morongo Casino Resort and Spa,92230,{'name': 'Cabazon'},CA,{'line1': '49500 Seminole Dr'},33.92210864,-116.80553543
KovZpZAkldvA,Copper Blues Oxnard Resturant,93036,{'name': 'Oxnard'},CA,{'line1': '581 Collections Blvd'},34.240229,-119.176274
KovZpZAJ6daA,The Regent Theater,90013,{'name': 'Los Angeles'},CA,{'line1': '448 S. Main St.'},34.0473,-118.24799
KovZ917AiNY,The Torch at LA Coliseum,90037,{'name': 'Los Angeles'},CA,{'line1': '3911 S. Figueroa Street'},34.01468,-118.28297
KovZpZAF6EaA,The Pacific Amphitheatre,92626,{'name': 'Costa Mesa'},CA,{'line1': '100 Fair Drive'},33.6638834,-117.9047684
Z7r9jZadbo,1720,90021,{'name': 'Los Angeles'},CA,{'line1': '1720 E 16th St'},34.028702,-118.239197
KovZpZAJ6daA,The Regent Theater,90013,{'name': 'Los Angeles'},CA,{'line1': '448 S. Main St.'},34.0473,-118.24799
KovZ917A8gf,FivePoint Amphitheatre,92618,{'name': 'Irvine'},CA,{'line1': '14800 Chinon'},33.658166,-117.7286
KovZ917AJ5H,The Moroccan Lounge,90012,{'name': 'Los Angeles'},CA,{'line1': '901 E 1st Street'},34.04898,-118.23365
KovZpZAJFknA,OC Tavern,92672,{'name': 'San Clemente'},CA,{'line1': '2369 S. El Camino Real'},33.41277632,-117.60027409
KovZpZAEA67A,House of Blues Anaheim,92802,{'name': 'Anaheim'},CA,"{'line1': '400 W Disney Way, #337'}",33.8095868,-117.9229975
KovZ917A2k0,The Peppermint Club,90048,{'name': 'Los Angeles'},CA,{'line1': '8713 Beverly Blvd'},34.076851,-118.381072
KovZpZAEAl6A,The Wiltern,90010,{'name': 'Los Angeles'},CA,{'line1': '3790 Wilshire Blvd.'},34.06141494,-118.30879207
KovZpZAF6JkA,The Observatory,92704,{'name': 'Santa Ana'},CA,{'line1': '3503 S. Harbor Blvd.'},33.6997648,-117.9175717
